DNS Resolver Log Started: 2025-10-26T15:44:43.081679
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'wpad', 'timestamp': '2025-10-26T15:44:54.067400', 'round_trip_time': '0.3928s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'No authority section for delegation', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'cncdesign.co.kr', 'timestamp': '2025-10-26T15:45:32.873545', 'round_trip_time': '0.2213s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: c.dns.kr. @ Glue IP: 210.101.61.1', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns2.ado4u.net.', 'timestamp': '2025-10-26T15:45:33.590913', 'round_trip_time': '0.2027s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns2.ado4u.net.', 'timestamp': '2025-10-26T15:45:33.894536', 'round_trip_time': '0.2903s', 'dns_server_ip': '192.55.83.30', 'response_or_referral': 'Delegation to: ns.ado4u.net. @ Glue IP: 175.126.62.41', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns2.ado4u.net.', 'timestamp': '2025-10-26T15:45:34.407204', 'round_trip_time': '0.5087s', 'dns_server_ip': '175.126.62.41', 'response_or_referral': 'No authority section for delegation', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'cncdesign.co.kr', 'timestamp': '2025-10-26T15:45:33.381852', 'round_trip_time': '0.4995s', 'dns_server_ip': '210.101.61.1', 'response_or_referral': 'Failed to resolve next NS IP: ns2.ado4u.net.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'udoo24.com', 'timestamp': '2025-10-26T15:45:34.724327', 'round_trip_time': '0.2699s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'udoo24.com', 'timestamp': '2025-10-26T15:45:35.021682', 'round_trip_time': '0.2826s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Delegation to: ns1.dns-parking.com. @ Glue IP: 162.159.24.201', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'udoo24.com', 'timestamp': '2025-10-26T15:45:35.224537', 'round_trip_time': '0.1953s', 'dns_server_ip': '162.159.24.201', 'response_or_referral': 'Answer: 185.232.14.229', 'total_time_to_resolution': '0.7704s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ljyelectronic.com', 'timestamp': '2025-10-26T15:45:35.446913', 'round_trip_time': '0.1873s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ljyelectronic.com', 'timestamp': '2025-10-26T15:45:35.642503', 'round_trip_time': '0.1811s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Delegation to: ns1.taoa.com. @ Glue IP: 8.217.248.85', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'ljyelectronic.com', 'timestamp': '2025-10-26T15:45:36.045411', 'round_trip_time': '0.3938s', 'dns_server_ip': '8.217.248.85', 'response_or_referral': 'Answer: 156.232.155.66', 'total_time_to_resolution': '0.7861s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'bek.ir', 'timestamp': '2025-10-26T15:45:36.354988', 'round_trip_time': '0.2589s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: a.nic.ir. @ Glue IP: 193.189.123.2', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'bek.ir', 'timestamp': '2025-10-26T15:45:36.658469', 'round_trip_time': '0.2934s', 'dns_server_ip': '193.189.123.2', 'response_or_referral': 'No authority section for delegation', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'valerievandenbroek.nl', 'timestamp': '2025-10-26T15:45:36.967531', 'round_trip_time': '0.2700s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: ns3.dns.nl. @ Glue IP: 194.0.25.24', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'valerievandenbroek.nl', 'timestamp': '2025-10-26T15:45:37.202126', 'round_trip_time': '0.2271s', 'dns_server_ip': '194.0.25.24', 'response_or_referral': 'No authority section for delegation', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'lacuentaperdida.org', 'timestamp': '2025-10-26T15:45:37.485543', 'round_trip_time': '0.2488s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: a2.org.afilias-nst.info. @ Glue IP: 199.249.112.1', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'lacuentaperdida.org', 'timestamp': '2025-10-26T15:45:37.785198', 'round_trip_time': '0.2825s', 'dns_server_ip': '199.249.112.1', 'response_or_referral': 'No authority section for delegation', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'alkoholiker-clan.de', 'timestamp': '2025-10-26T15:45:38.095708', 'round_trip_time': '0.2757s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: a.nic.de. @ Glue IP: 194.0.0.53', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.kv-gmbh.de.', 'timestamp': '2025-10-26T15:45:38.505843', 'round_trip_time': '0.2024s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: a.nic.de. @ Glue IP: 194.0.0.53', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.kv-gmbh.de.', 'timestamp': '2025-10-26T15:45:38.707673', 'round_trip_time': '0.1932s', 'dns_server_ip': '194.0.0.53', 'response_or_referral': 'Delegation to: ns.second-ns.com. @ Glue IP: 213.133.100.102', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'ns1.kv-gmbh.de.', 'timestamp': '2025-10-26T15:45:39.015456', 'round_trip_time': '0.2995s', 'dns_server_ip': '213.133.100.102', 'response_or_referral': 'Answer: 78.46.40.158', 'total_time_to_resolution': '0.7167s'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'alkoholiker-clan.de', 'timestamp': '2025-10-26T15:45:38.298463', 'round_trip_time': '0.1940s', 'dns_server_ip': '194.0.0.53', 'response_or_referral': 'Timeout or invalid response', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'alkoholiker-clan.de', 'timestamp': '2025-10-26T15:45:39.228924', 'round_trip_time': '0.2003s', 'dns_server_ip': '78.46.40.158', 'response_or_referral': 'Answer: 78.46.86.91', 'total_time_to_resolution': '1.4092s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'doommovie.com', 'timestamp': '2025-10-26T15:45:39.533565', 'round_trip_time': '0.2651s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'doommovie.com', 'timestamp': '2025-10-26T15:45:39.836278', 'round_trip_time': '0.2859s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Delegation to: karina.ns.cloudflare.com. @ Glue IP: 108.162.192.178', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'doommovie.com', 'timestamp': '2025-10-26T15:45:40.139946', 'round_trip_time': '0.2911s', 'dns_server_ip': '108.162.192.178', 'response_or_referral': 'Answer: 104.21.50.133', 'total_time_to_resolution': '0.8719s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'xqgcab.com', 'timestamp': '2025-10-26T15:45:40.458455', 'round_trip_time': '0.2766s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'xqgcab.com', 'timestamp': '2025-10-26T15:45:40.754243', 'round_trip_time': '0.2814s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'No authority section for delegation', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'uanet.net', 'timestamp': '2025-10-26T15:45:41.069382', 'round_trip_time': '0.2785s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.julydns.com.', 'timestamp': '2025-10-26T15:45:41.581984', 'round_trip_time': '0.2065s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1.julydns.com.', 'timestamp': '2025-10-26T15:45:41.882897', 'round_trip_time': '0.2604s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Delegation to: frida.ns.cloudflare.com. @ Glue IP: 108.162.194.137', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'ns1.julydns.com.', 'timestamp': '2025-10-26T15:45:42.085917', 'round_trip_time': '0.1948s', 'dns_server_ip': '108.162.194.137', 'response_or_referral': 'Answer: 47.97.51.45', 'total_time_to_resolution': '0.7166s'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'uanet.net', 'timestamp': '2025-10-26T15:45:41.369139', 'round_trip_time': '0.2859s', 'dns_server_ip': '192.55.83.30', 'response_or_referral': 'Timeout or invalid response', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'uanet.net', 'timestamp': '2025-10-26T15:45:42.597869', 'round_trip_time': '0.5067s', 'dns_server_ip': '47.97.51.45', 'response_or_referral': 'Answer: 38.55.165.9', 'total_time_to_resolution': '1.8073s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'tomorrowsreflection.com', 'timestamp': '2025-10-26T15:45:42.867589', 'round_trip_time': '0.2349s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns17.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:43.424598', 'round_trip_time': '0.3018s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ans01.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:43.942337', 'round_trip_time': '0.2049s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ans01.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:44.447999', 'round_trip_time': '0.1995s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ans01.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:44.960116', 'round_trip_time': '0.2958s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ans01.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:45.473505', 'round_trip_time': '0.2041s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ans01.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:46.085766', 'round_trip_time': '0.3028s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ans01.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:46.596656', 'round_trip_time': '0.2009s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ans01.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:47.111634', 'round_trip_time': '0.2001s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ans01.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:47.627122', 'round_trip_time': '0.2941s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ans01.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:48.237736', 'round_trip_time': '0.3012s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ans01.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:48.539212', 'round_trip_time': '0.2876s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ans01.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:47.926635', 'round_trip_time': '0.2787s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ans01.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:47.324214', 'round_trip_time': '0.1995s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ans01.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:46.902221', 'round_trip_time': '0.2944s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ans01.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:46.388036', 'round_trip_time': '0.2885s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ans01.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:45.774628', 'round_trip_time': '0.2882s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ans01.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:45.261623', 'round_trip_time': '0.2882s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ans01.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:44.650154', 'round_trip_time': '0.1877s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ans01.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:44.240774', 'round_trip_time': '0.2825s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns17.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:43.729204', 'round_trip_time': '0.2915s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'tomorrowsreflection.com', 'timestamp': '2025-10-26T15:45:43.110738', 'round_trip_time': '0.2307s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns17.domaincontrol.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'lighthouse.cc', 'timestamp': '2025-10-26T15:45:48.845342', 'round_trip_time': '0.2908s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: ac3.nstld.com. @ Glue IP: 192.42.175.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'lighthouse.cc', 'timestamp': '2025-10-26T15:45:49.050204', 'round_trip_time': '0.1983s', 'dns_server_ip': '192.42.175.30', 'response_or_referral': 'Delegation to: ns1.lighthouse.cc. @ Glue IP: 192.110.166.196', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'lighthouse.cc', 'timestamp': '2025-10-26T15:45:49.458671', 'round_trip_time': '0.4020s', 'dns_server_ip': '192.110.166.196', 'response_or_referral': 'Answer: 192.110.166.196', 'total_time_to_resolution': '0.9044s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': '7sports.jp', 'timestamp': '2025-10-26T15:45:49.773432', 'round_trip_time': '0.2720s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: e.dns.jp. @ Glue IP: 192.50.43.53', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns-rs1.gmoserver.jp.', 'timestamp': '2025-10-26T15:45:50.491251', 'round_trip_time': '0.2077s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: e.dns.jp. @ Glue IP: 192.50.43.53', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns-rs1.gmoserver.jp.', 'timestamp': '2025-10-26T15:45:50.996533', 'round_trip_time': '0.4904s', 'dns_server_ip': '192.50.43.53', 'response_or_referral': 'Delegation to: ns1.gmointernet.jp. @ Glue IP: 157.7.33.254', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'ns-rs1.gmoserver.jp.', 'timestamp': '2025-10-26T15:45:51.508637', 'round_trip_time': '0.5056s', 'dns_server_ip': '157.7.33.254', 'response_or_referral': 'Answer: 157.7.32.87', 'total_time_to_resolution': '1.2297s'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': '7sports.jp', 'timestamp': '2025-10-26T15:45:50.278770', 'round_trip_time': '0.4903s', 'dns_server_ip': '192.50.43.53', 'response_or_referral': 'Timeout or invalid response', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': '7sports.jp', 'timestamp': '2025-10-26T15:45:52.020889', 'round_trip_time': '0.5057s', 'dns_server_ip': '157.7.32.87', 'response_or_referral': 'Answer: 150.95.219.152', 'total_time_to_resolution': '2.5198s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'gamepsvita.com', 'timestamp': '2025-10-26T15:45:52.333312', 'round_trip_time': '0.2717s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'gamepsvita.com', 'timestamp': '2025-10-26T15:45:52.637483', 'round_trip_time': '0.2928s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Delegation to: venkat.ns.cloudflare.com. @ Glue IP: 108.162.195.254', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'gamepsvita.com', 'timestamp': '2025-10-26T15:45:52.841121', 'round_trip_time': '0.1943s', 'dns_server_ip': '108.162.195.254', 'response_or_referral': 'Answer: 172.67.145.175', 'total_time_to_resolution': '0.7799s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'thunderex.com', 'timestamp': '2025-10-26T15:45:53.151630', 'round_trip_time': '0.2712s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns43.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:53.665691', 'round_trip_time': '0.2047s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ans01.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:54.375751', 'round_trip_time': '0.3944s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ans01.domaincontrol.com.', 'timestamp': '2025-10-26T15:45:54.784670', 'round_trip_time': '0.1796s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
