DNS Resolver Log Started: 2025-10-26T15:38:47.507270
{'step_of_resolution': 'Root', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'wpad', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2558s', 'timestamp': '2025-10-26T15:38:55.963412', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'tottenhamhk.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2804s', 'timestamp': '2025-10-26T15:39:36.103079', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'newstetic.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2538s', 'timestamp': '2025-10-26T15:39:36.417719', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: duke.ns.cloudflare.com. @ Glue IP: 108.162.193.110', 'domain_name': 'newstetic.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2961s', 'timestamp': '2025-10-26T15:39:36.727603', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 172.67.131.89', 'domain_name': 'newstetic.com', 'cache_status': 'MISS', 'dns_server_ip': '108.162.193.110', 'round_trip_time': '0.2801s', 'timestamp': '2025-10-26T15:39:37.023380', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.8599s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: f.ns.se. @ Glue IP: 192.71.53.53', 'domain_name': 'triggerfish.se', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2749s', 'timestamp': '2025-10-26T15:39:37.351699', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns1.triggerfish.se. @ Glue IP: 84.246.134.190', 'domain_name': 'triggerfish.se', 'cache_status': 'MISS', 'dns_server_ip': '192.71.53.53', 'round_trip_time': '0.2717s', 'timestamp': '2025-10-26T15:39:37.640116', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 162.159.135.42', 'domain_name': 'triggerfish.se', 'cache_status': 'MISS', 'dns_server_ip': '84.246.134.190', 'round_trip_time': '0.3017s', 'timestamp': '2025-10-26T15:39:37.947374', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.8710s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: a.dns.ripn.net. @ Glue IP: 193.232.128.6', 'domain_name': 'reprosystems.ru', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2506s', 'timestamp': '2025-10-26T15:39:38.256706', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'brodie.ns.cloudflare.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2022s', 'timestamp': '2025-10-26T15:39:38.770969', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns3.cloudflare.com. @ Glue IP: 162.159.0.33', 'domain_name': 'brodie.ns.cloudflare.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2973s', 'timestamp': '2025-10-26T15:39:39.078685', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 108.162.195.237', 'domain_name': 'brodie.ns.cloudflare.com.', 'cache_status': 'MISS', 'dns_server_ip': '162.159.0.33', 'round_trip_time': '0.2618s', 'timestamp': '2025-10-26T15:39:39.357421', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.7981s'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'reprosystems.ru', 'cache_status': 'MISS', 'dns_server_ip': '193.232.128.6', 'round_trip_time': '0.2922s', 'timestamp': '2025-10-26T15:39:38.559618', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 188.114.97.0', 'domain_name': 'reprosystems.ru', 'cache_status': 'MISS', 'dns_server_ip': '108.162.195.237', 'round_trip_time': '0.2229s', 'timestamp': '2025-10-26T15:39:39.587823', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '1.5824s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: dns1.nic.uk. @ Glue IP: 213.248.216.1', 'domain_name': 'interfloracentral.co.uk', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2456s', 'timestamp': '2025-10-26T15:39:39.896916', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'domain_name': 'dns01.eliteukserve.net.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2048s', 'timestamp': '2025-10-26T15:39:40.410714', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: dns01.eliteukserve.net. @ Glue IP: 217.68.241.1', 'domain_name': 'dns01.eliteukserve.net.', 'cache_status': 'MISS', 'dns_server_ip': '192.55.83.30', 'round_trip_time': '0.2859s', 'timestamp': '2025-10-26T15:39:40.712506', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 217.68.241.1', 'domain_name': 'dns01.eliteukserve.net.', 'cache_status': 'MISS', 'dns_server_ip': '217.68.241.1', 'round_trip_time': '0.2988s', 'timestamp': '2025-10-26T15:39:41.018711', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.8187s'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'interfloracentral.co.uk', 'cache_status': 'MISS', 'dns_server_ip': '213.248.216.1', 'round_trip_time': '0.2909s', 'timestamp': '2025-10-26T15:39:40.199554', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 217.69.32.44', 'domain_name': 'interfloracentral.co.uk', 'cache_status': 'MISS', 'dns_server_ip': '217.68.241.1', 'round_trip_time': '0.3002s', 'timestamp': '2025-10-26T15:39:41.325735', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '1.6747s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'afairjudgement.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2408s', 'timestamp': '2025-10-26T15:39:41.636812', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: gail.ns.cloudflare.com. @ Glue IP: 108.162.192.116', 'domain_name': 'afairjudgement.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.3074s', 'timestamp': '2025-10-26T15:39:41.956674', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 188.114.96.0', 'domain_name': 'afairjudgement.com', 'cache_status': 'MISS', 'dns_server_ip': '108.162.192.116', 'round_trip_time': '0.2755s', 'timestamp': '2025-10-26T15:39:42.246878', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.8514s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'owlcreek.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2581s', 'timestamp': '2025-10-26T15:39:42.560512', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns85.worldnic.com. @ Glue IP: 162.159.26.131', 'domain_name': 'owlcreek.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2866s', 'timestamp': '2025-10-26T15:39:42.861137', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 205.178.189.129', 'domain_name': 'owlcreek.com', 'cache_status': 'MISS', 'dns_server_ip': '162.159.26.131', 'round_trip_time': '0.2992s', 'timestamp': '2025-10-26T15:39:43.166760', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.8647s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: a.dns.ripn.net. @ Glue IP: 193.232.128.6', 'domain_name': 'radioterminal.ru', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1936s', 'timestamp': '2025-10-26T15:39:43.411541', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns4.timeweb.org. @ Glue IP: 85.193.93.85', 'domain_name': 'radioterminal.ru', 'cache_status': 'MISS', 'dns_server_ip': '193.232.128.6', 'round_trip_time': '0.2607s', 'timestamp': '2025-10-26T15:39:43.684263', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 188.225.40.161', 'domain_name': 'radioterminal.ru', 'cache_status': 'MISS', 'dns_server_ip': '85.193.93.85', 'round_trip_time': '0.2975s', 'timestamp': '2025-10-26T15:39:43.989815', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.7722s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'junio.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2502s', 'timestamp': '2025-10-26T15:39:44.300897', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns3.epik.com. @ Glue IP: 209.196.146.153', 'domain_name': 'junio.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2865s', 'timestamp': '2025-10-26T15:39:44.602559', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 209.196.144.25', 'domain_name': 'junio.com', 'cache_status': 'MISS', 'dns_server_ip': '209.196.146.153', 'round_trip_time': '0.3002s', 'timestamp': '2025-10-26T15:39:44.909269', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.8588s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ditrblog.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2061s', 'timestamp': '2025-10-26T15:39:45.166294', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'ditrblog.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2420s', 'timestamp': '2025-10-26T15:39:45.422494', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'isilon', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2461s', 'timestamp': '2025-10-26T15:39:45.728861', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'alchemedialtd.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '2.0089s', 'timestamp': '2025-10-26T15:39:47.786548', 'resolution_mode': 'Iterative (Query Failed)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'portclydegeneralstore.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2625s', 'timestamp': '2025-10-26T15:39:48.099488', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ns77.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3031s', 'timestamp': '2025-10-26T15:39:48.603547', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2150s', 'timestamp': '2025-10-26T15:39:49.129432', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2391s', 'timestamp': '2025-10-26T15:39:49.622515', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3085s', 'timestamp': '2025-10-26T15:39:50.147610', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1974s', 'timestamp': '2025-10-26T15:39:50.651080', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2961s', 'timestamp': '2025-10-26T15:39:51.162789', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1975s', 'timestamp': '2025-10-26T15:39:51.678079', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1957s', 'timestamp': '2025-10-26T15:39:52.083698', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3026s', 'timestamp': '2025-10-26T15:39:52.697307', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2997s', 'timestamp': '2025-10-26T15:39:53.312383', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1966s', 'timestamp': '2025-10-26T15:39:53.522402', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2928s', 'timestamp': '2025-10-26T15:39:53.001245', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2909s', 'timestamp': '2025-10-26T15:39:52.387628', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1887s', 'timestamp': '2025-10-26T15:39:51.879407', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2900s', 'timestamp': '2025-10-26T15:39:51.467934', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1923s', 'timestamp': '2025-10-26T15:39:50.859157', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2791s', 'timestamp': '2025-10-26T15:39:50.443402', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1892s', 'timestamp': '2025-10-26T15:39:49.826666', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2279s', 'timestamp': '2025-10-26T15:39:49.374948', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ns77.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2869s', 'timestamp': '2025-10-26T15:39:48.905646', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ns77.domaincontrol.com.', 'domain_name': 'portclydegeneralstore.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1765s', 'timestamp': '2025-10-26T15:39:48.295209', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'alenpuaca.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2802s', 'timestamp': '2025-10-26T15:39:53.824720', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns1.dreamhost.com. @ Glue IP: 162.159.26.14', 'domain_name': 'alenpuaca.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1867s', 'timestamp': '2025-10-26T15:39:54.025440', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 67.205.28.253', 'domain_name': 'alenpuaca.com', 'cache_status': 'MISS', 'dns_server_ip': '162.159.26.14', 'round_trip_time': '0.2980s', 'timestamp': '2025-10-26T15:39:54.330622', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.7864s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'dj-producer-j-mbargo.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3588s', 'timestamp': '2025-10-26T15:39:54.742964', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'dj-producer-j-mbargo.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2903s', 'timestamp': '2025-10-26T15:39:55.045956', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'iag-inc.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2603s', 'timestamp': '2025-10-26T15:39:55.361731', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: b.gtld.biz. @ Glue IP: 156.154.125.65', 'domain_name': 'domain-may-be-for-sale-at.edoms.biz.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3109s', 'timestamp': '2025-10-26T15:39:55.976542', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: contact-us-at.edoms.biz. @ Glue IP: 70.32.1.32', 'domain_name': 'domain-may-be-for-sale-at.edoms.biz.', 'cache_status': 'MISS', 'dns_server_ip': '156.154.125.65', 'round_trip_time': '0.2909s', 'timestamp': '2025-10-26T15:39:56.282139', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'domain-may-be-for-sale-at.edoms.biz.', 'cache_status': 'MISS', 'dns_server_ip': '70.32.1.32', 'round_trip_time': '2.0040s', 'timestamp': '2025-10-26T15:39:58.300996', 'resolution_mode': 'Iterative (Query Failed)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: domain-may-be-for-sale-at.edoms.biz.', 'domain_name': 'iag-inc.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2829s', 'timestamp': '2025-10-26T15:39:55.661486', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: a.dns.ripn.net. @ Glue IP: 193.232.128.6', 'domain_name': 'advertos.ru', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2191s', 'timestamp': '2025-10-26T15:39:58.579175', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'dns.fastdns24.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3073s', 'timestamp': '2025-10-26T15:39:59.150462', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ns17.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3088s', 'timestamp': '2025-10-26T15:39:59.766116', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2896s', 'timestamp': '2025-10-26T15:40:00.377664', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2283s', 'timestamp': '2025-10-26T15:40:00.917990', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
