DNS Resolver Log Started: 2025-10-26T15:48:39.237830
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:49.790988', 'round_trip_time': '0.2284s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'wpad', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:28.095805', 'round_trip_time': '0.2189s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'asseenontvlaunchpad.com', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:28.393183', 'round_trip_time': '0.2797s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'asseenontvlaunchpad.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:28.706666', 'round_trip_time': '0.2572s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ftf.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:29.219419', 'round_trip_time': '0.2055s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns1.p201.dns.oraclecloud.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns11.dynamicnetworkservices.net. @ Glue IP: 108.59.166.201', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:29.526073', 'round_trip_time': '0.2909s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'ns1.p201.dns.oraclecloud.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 108.59.166.201', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:29.829222', 'round_trip_time': '0.2931s', 'total_time_to_resolution': '0.8205s', 'dns_server_ip': '108.59.166.201', 'domain_name': 'ns1.p201.dns.oraclecloud.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:29.007992', 'round_trip_time': '0.2486s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ftf.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 23.227.38.65', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:30.136781', 'round_trip_time': '0.2976s', 'total_time_to_resolution': '1.6877s', 'dns_server_ip': '108.59.166.201', 'domain_name': 'ftf.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:30.449245', 'round_trip_time': '0.2508s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'polymth.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: roan.ns.cloudflare.com. @ Glue IP: 108.162.193.226', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:30.651313', 'round_trip_time': '0.1883s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'polymth.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 172.67.147.218', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:30.852914', 'round_trip_time': '0.1861s', 'total_time_to_resolution': '0.6549s', 'dns_server_ip': '108.162.193.226', 'domain_name': 'polymth.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: a.nic.de. @ Glue IP: 194.0.0.53', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:31.109241', 'round_trip_time': '0.1921s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'crsgfk.de', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:31.330403', 'round_trip_time': '0.2073s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '194.0.0.53', 'domain_name': 'crsgfk.de', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: dns1.nic.uk. @ Glue IP: 213.248.216.1', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:31.579799', 'round_trip_time': '0.1879s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'urbannetwork.co.uk', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:32.087147', 'round_trip_time': '0.3038s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:32.700253', 'round_trip_time': '0.3004s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:33.316920', 'round_trip_time': '0.3000s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:33.901425', 'round_trip_time': '0.2725s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:34.509768', 'round_trip_time': '0.2664s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:34.955119', 'round_trip_time': '0.1989s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:35.571090', 'round_trip_time': '0.3015s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:36.185138', 'round_trip_time': '0.2975s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:36.801956', 'round_trip_time': '0.2975s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:37.308424', 'round_trip_time': '0.1989s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:37.614770', 'round_trip_time': '0.2958s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:37.101060', 'round_trip_time': '0.2816s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:36.492131', 'round_trip_time': '0.2929s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:35.874633', 'round_trip_time': '0.2936s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:35.257215', 'round_trip_time': '0.2880s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:34.746391', 'round_trip_time': '0.2261s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:34.234028', 'round_trip_time': '0.3181s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:33.620552', 'round_trip_time': '0.2881s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:33.004771', 'round_trip_time': '0.2929s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:32.389749', 'round_trip_time': '0.2879s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ns01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ns01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:31.777615', 'round_trip_time': '0.1880s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '213.248.216.1', 'domain_name': 'urbannetwork.co.uk', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:37.923996', 'round_trip_time': '0.2894s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'synrc.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: april.ns.cloudflare.com. @ Glue IP: 108.162.192.66', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:38.125943', 'round_trip_time': '0.1873s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'synrc.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 104.21.40.117', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:38.326675', 'round_trip_time': '0.1910s', 'total_time_to_resolution': '0.6927s', 'dns_server_ip': '108.162.192.66', 'domain_name': 'synrc.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: b0.info.afilias-nst.org. @ Glue IP: 199.254.48.1', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:38.638955', 'round_trip_time': '0.2428s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'callcomm.info', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:38.942663', 'round_trip_time': '0.2946s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '199.254.48.1', 'domain_name': 'callcomm.info', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: a.ns.nic.cz. @ Glue IP: 194.0.12.1', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:39.253502', 'round_trip_time': '0.2419s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ceskykutil.cz', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: alfa.ns.active24.cz. @ Glue IP: 81.95.96.2', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:39.658070', 'round_trip_time': '0.3946s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '194.0.12.1', 'domain_name': 'ceskykutil.cz', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 80.211.205.242', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:39.870176', 'round_trip_time': '0.2050s', 'total_time_to_resolution': '0.8589s', 'dns_server_ip': '81.95.96.2', 'domain_name': 'ceskykutil.cz', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:40.176944', 'round_trip_time': '0.2444s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ximangquantrieu.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns1.matbao.com. @ Glue IP: 103.110.128.60', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:40.478287', 'round_trip_time': '0.2818s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ximangquantrieu.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 123.31.17.119', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:40.990562', 'round_trip_time': '0.5036s', 'total_time_to_resolution': '1.0583s', 'dns_server_ip': '103.110.128.60', 'domain_name': 'ximangquantrieu.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: b0.info.afilias-nst.org. @ Glue IP: 199.254.48.1', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:41.306348', 'round_trip_time': '0.2538s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'shishioh.info', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: e.dns.jp. @ Glue IP: 192.50.43.53', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:41.824161', 'round_trip_time': '0.2161s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns1.dns.ne.jp.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns1.dns.ne.jp. @ Glue IP: 61.211.236.1', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:42.321235', 'round_trip_time': '0.4725s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.50.43.53', 'domain_name': 'ns1.dns.ne.jp.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 61.211.236.1', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:42.834321', 'round_trip_time': '0.5066s', 'total_time_to_resolution': '1.2307s', 'dns_server_ip': '61.211.236.1', 'domain_name': 'ns1.dns.ne.jp.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:41.603330', 'round_trip_time': '0.2836s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '199.254.48.1', 'domain_name': 'shishioh.info', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 219.94.162.166', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:43.344920', 'round_trip_time': '0.5050s', 'total_time_to_resolution': '2.2927s', 'dns_server_ip': '61.211.236.1', 'domain_name': 'shishioh.info', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:43.658337', 'round_trip_time': '0.2489s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'vpndefender.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns-124.awsdns-15.com. @ Glue IP: 205.251.192.124', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:43.959308', 'round_trip_time': '0.2873s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'vpndefender.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 54.224.56.57', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:44.268448', 'round_trip_time': '0.3019s', 'total_time_to_resolution': '0.8597s', 'dns_server_ip': '205.251.192.124', 'domain_name': 'vpndefender.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:44.580521', 'round_trip_time': '0.2492s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'hutago.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: e.dns.jp. @ Glue IP: 192.50.43.53', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:45.200651', 'round_trip_time': '0.3044s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'uns01.lolipop.jp.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: sv.madame.jp. @ Glue IP: 202.239.23.46', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:45.700656', 'round_trip_time': '0.4759s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.50.43.53', 'domain_name': 'uns01.lolipop.jp.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 202.239.23.47', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:46.213043', 'round_trip_time': '0.5067s', 'total_time_to_resolution': '1.3305s', 'dns_server_ip': '202.239.23.46', 'domain_name': 'uns01.lolipop.jp.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:44.881741', 'round_trip_time': '0.2866s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'hutago.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 118.27.125.209', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:46.724740', 'round_trip_time': '0.5030s', 'total_time_to_resolution': '2.3937s', 'dns_server_ip': '202.239.23.47', 'domain_name': 'hutago.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:47.037044', 'round_trip_time': '0.2471s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'tangkas888.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: brenda.ns.cloudflare.com. @ Glue IP: 108.162.192.77', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:47.342641', 'round_trip_time': '0.2914s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'tangkas888.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 104.21.7.113', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:47.645994', 'round_trip_time': '0.2940s', 'total_time_to_resolution': '0.8566s', 'dns_server_ip': '108.162.192.77', 'domain_name': 'tangkas888.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: sy.cctld.authdns.ripe.net. @ Glue IP: 193.0.9.113', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:48.053689', 'round_trip_time': '0.3410s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'egov.sy', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns3.tld.sy. @ Glue IP: 82.137.200.82', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:48.364979', 'round_trip_time': '0.3040s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '193.0.9.113', 'domain_name': 'egov.sy', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 185.216.134.58', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:48.671228', 'round_trip_time': '0.2981s', 'total_time_to_resolution': '0.9590s', 'dns_server_ip': '82.137.200.82', 'domain_name': 'egov.sy', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:48.986654', 'round_trip_time': '0.2576s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'abmcare.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: hera.ns.cloudflare.com. @ Glue IP: 108.162.192.162', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:49.288886', 'round_trip_time': '0.2891s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'abmcare.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 104.18.11.144', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:49.592250', 'round_trip_time': '0.2926s', 'total_time_to_resolution': '0.8637s', 'dns_server_ip': '108.162.192.162', 'domain_name': 'abmcare.com', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:49.898714', 'round_trip_time': '0.2474s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'isilon', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:50.217139', 'round_trip_time': '0.2619s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'iael.com', 'cache_status': 'MISS'}
